kpi_id;kpi_short_name;view_id;node_type;input_type;main_text;sub_text;Priority
S4;LTI;budget_target;company;auto;Target is automatically coming from Group standard source Sphera;;1
S4;LTI;budget_target;division;auto;Target is automatically coming from Group standard source Sphera;;1
S4;LTI;budget_target;area;auto;Target is automatically coming from Group standard source Sphera;;1
S4;LTI;budget_target;regional;auto;Target is automatically coming from Group standard source Sphera;;1
S4;LTI;budget_target;plant;auto;Target is automatically coming from Group standard source Sphera;;1
S4;LTI;budget_target;plant_other_group;disabled;No entry;;1
S4;LTI;budget_target;apu;disabled;No entry;;1
S4;LTI;budget_target;apu_other_group;disabled;No entry;;1
S4;LTI;budget_target;totem;disabled;No entry;;1
S4;LTI;budget_target;equipment_group;disabled;No entry;;1
S4;LTI;budget_target;equipment;disabled;No entry;;1
S4;LTI;running_target;company;auto;Target is automatically calculated as sum of all QTY from level below;;1
S4;LTI;running_target;division;auto;Target is automatically calculated as sum of all QTY from level below;;1
S4;LTI;running_target;area;auto;Target is automatically calculated as sum of all QTY from level below;;1
S4;LTI;running_target;regional;auto;Target is automatically calculated as sum of all QTY from level below;;1
S4;LTI;running_target;plant;manual;Enter Target in QTY for the entire Plant;;1
S4;LTI;running_target;plant_other_group;auto;Target in QTY is automatically calculated as a Plant target minus the sum of level below;;1
S4;LTI;running_target;apu;manual;Enter Target for full year in January, in QTY for the full specific APU considering all headcounts in that specific APU;;1
S4;LTI;running_target;apu_other_group;manual;Enter Target for full year in January, in QTY for the Headcount belonging to the APU and not to the Totems below;;1
S4;LTI;running_target;totem;auto;Target is always 0;;1
S4;LTI;running_target;equipment_group;disabled;No entry;;1
S4;LTI;running_target;equipment;disabled;No entry;;1
S4;LTI;manual_input_actual_input_actual;company;auto;Only coming automatically from group standard system source Sphera;;1
S4;LTI;manual_input_actual;division;auto;Only coming automatically from group standard system source Sphera;;1
S4;LTI;manual_input_actual;area;auto;Only coming automatically from group standard system source Sphera;;1
S4;LTI;manual_input_actual;regional;auto;Only coming automatically from group standard system source Sphera;;1
S4;LTI;manual_input_actual;plant;auto;Only coming automatically from group standard system source Sphera;;1
